mod,translation,direction,pattern,is_great,modid,name,classname,args,book_anchor
Hex Casting,Intersection Distillation,NORTH_EAST,wdweaqa,false,hexcasting,and_bit,OpAnd,"num, num/list, list → num/list",#patterns/sets@hexcasting:and_bit
Hex Casting,Introspection,WEST,qqq,false,hexcasting,open_paren,INTROSPECTION,,#patterns/patterns_as_iotas@hexcasting:open_paren
Hex Casting,Inverse Cosine Purification,NORTH_EAST,adeeeee,false,hexcasting,arccos,OpArcCos,num → num,#patterns/advanced_math@hexcasting:arccos
Hex Casting,Inverse Sine Purification,SOUTH_EAST,ddeeeee,false,hexcasting,arcsin,OpArcSin,num → num,#patterns/advanced_math@hexcasting:arcsin
Hex Casting,Inverse Tangent Purification,NORTH_EAST,eadeeeeew,false,hexcasting,arctan,OpArcTan,num → num,#patterns/advanced_math@hexcasting:arctan
Hex Casting,Inversion Purification,NORTH_WEST,dweaqa,false,hexcasting,not_bit,OpNot,num → num,#patterns/sets@hexcasting:not_bit
Hex Casting,Jester's Gambit,EAST,aawdd,false,hexcasting,swap,OpTwiddling,"any, any → any, any",#patterns/stackmanip@hexcasting:swap
Hex Casting,Length Purification,NORTH_EAST,wqaqw,false,hexcasting,abs_len,OpAbsLen,num/vec → number,#patterns/math@hexcasting:abs_len
Hex Casting,Lesser Fold Reflection,SOUTH_WEST,eaqwqaewdd,false,hexcasting,circle/bounds/min,OpCircleBounds,→ vector,#patterns/circle@hexcasting:circle/bounds/min
Hex Casting,Locate Sentinel,EAST,waeawaede,false,hexcasting,sentinel/get_pos,OpGetSentinelPos,→ vector,#patterns/spells/sentinels@hexcasting:sentinel/get_pos
Hex Casting,Locator's Distillation,EAST,dedqde,false,hexcasting,index_of,OpIndexOf,"list, any → num",#patterns/lists@hexcasting:index_of
Hex Casting,Lodestone Reflection,SOUTH_WEST,eaqwqaewede,false,hexcasting,circle/impetus_dir,OpImpetusDir,→ vector,#patterns/circle@hexcasting:circle/impetus_dir
Hex Casting,Logarithmic Distillation,NORTH_WEST,eqaqe,false,hexcasting,logarithm,OpLog,"num, num → num",#patterns/advanced_math@hexcasting:logarithm
Hex Casting,Make Note,WEST,adaa,false,hexcasting,beep,OpBeep,"vector, number, number →",#patterns/spells/basic@hexcasting:beep
Hex Casting,Maximus Distillation,SOUTH_EAST,e,false,hexcasting,greater,OpCompare,"number, number → number",#patterns/logic@hexcasting:greater
Hex Casting,Maximus Distillation II,SOUTH_EAST,ee,false,hexcasting,greater_eq,OpCompare,"number, number → number",#patterns/logic@hexcasting:greater_eq
Hex Casting,Mind's Reflection,NORTH_EAST,qaq,false,hexcasting,get_caster,OpGetCaster,→ entity,#patterns/basics@hexcasting:get_caster
Hex Casting,Minimus Distillation,SOUTH_WEST,q,false,hexcasting,less,OpCompare,"number, number → number",#patterns/logic@hexcasting:less
Hex Casting,Minimus Distillation II,SOUTH_WEST,qq,false,hexcasting,less_eq,OpCompare,"number, number → number",#patterns/logic@hexcasting:less_eq
Hex Casting,Modulus Distillation,NORTH_EAST,addwaad,false,hexcasting,modulo,OpModulo,"num, num → num",#patterns/math@hexcasting:modulo
Hex Casting,Multiplicative Distillation,SOUTH_EAST,waqaw,false,hexcasting,mul_dot,OpMulDot,"num/vec, num/vec → num/vec",#patterns/math@hexcasting:mul_dot
Hex Casting,Muninn's Reflection,NORTH_EAST,qeewdweddw,false,hexcasting,read/local,OpPeekLocal,→ any,#patterns/readwrite@hexcasting:read/local
Hex Casting,Negation Purification,NORTH_WEST,dw,false,hexcasting,not,OpBoolNot,any → number,#patterns/logic@hexcasting:not
Hex Casting,Nullary Reflection,EAST,d,false,hexcasting,const/null,makeConstantOp,→ influence,#patterns/consts@hexcasting:const/null
Hex Casting,Numerical Reflection,,,false,hexcasting,number,SpecialHandler,→ number,#patterns/numbers@Numbers
Hex Casting,Overgrow,NORTH_EAST,wqaqwawqaqw,false,hexcasting,bonemeal,OpTheOnlyReasonAnyoneDownloadedPsi,vector →,#patterns/spells/blockworks@hexcasting:bonemeal
Hex Casting,Pace Purification,EAST,wq,false,hexcasting,get_entity_velocity,OpEntityVelocity,entity → vector,#patterns/basics@hexcasting:get_entity_velocity
Hex Casting,Place Block,SOUTH_WEST,eeeeede,false,hexcasting,place_block,OpPlaceBlock,vector →,#patterns/spells/blockworks@hexcasting:place_block
Hex Casting,Power Distillation,NORTH_WEST,wedew,false,hexcasting,pow_proj,OpPowProj,"num/vec, num/vec → num/vec",#patterns/math@hexcasting:pow_proj
Hex Casting,Prospector's Gambit,EAST,aaedd,false,hexcasting,over,OpTwiddling,"any, any → any, any, any",#patterns/stackmanip@hexcasting:over
Hex Casting,Recharge Item,NORTH_WEST,qqqqqwaeaeaeaeaea,false,hexcasting,recharge,OpRecharge,entity →,#patterns/spells/hexcasting@hexcasting:recharge
Hex Casting,Red Sun's Nadir,SOUTH_EAST,qqqqqadwawaww,false,hexcasting,potion/poison,OpPotionEffect,"entity, number, number →",#patterns/spells/nadirs@hexcasting:potion/poison
Hex Casting,Red Sun's Zenith,SOUTH_EAST,qaawawaeqqqdd,true,hexcasting,potion/haste,OpPotionEffect,"entity, number, number →",#patterns/great_spells/zeniths@hexcasting:potion/haste
Hex Casting,Retrograde Purification,EAST,qqqaede,false,hexcasting,reverse_list,OpReverski,list → list,#patterns/lists@hexcasting:reverse_list
Hex Casting,Retrospection,EAST,eee,false,hexcasting,close_paren,RETROSPECTION,,#patterns/patterns_as_iotas@hexcasting:close_paren
Hex Casting,Reveal,NORTH_EAST,de,false,hexcasting,print,OpPrint,any → any,#patterns/basics@hexcasting:print
Hex Casting,Rotation Gambit,EAST,aaeaa,false,hexcasting,rotate,OpTwiddling,"any, any, any → any, any, any",#patterns/stackmanip@hexcasting:rotate
Hex Casting,Rotation Gambit II,NORTH_EAST,ddqdd,false,hexcasting,rotate_reverse,OpTwiddling,"any, any, any → any, any, any",#patterns/stackmanip@hexcasting:rotate_reverse
Hex Casting,Scout's Distillation,EAST,weaqa,false,hexcasting,raycast/entity,OpEntityRaycast,"vector, vector → entity",#patterns/basics@hexcasting:raycast/entity
Hex Casting,Scribe's Gambit,EAST,deeeee,false,hexcasting,write,OpWrite,any →,#patterns/readwrite@hexcasting:write
Hex Casting,Scribe's Reflection,EAST,aqqqqq,false,hexcasting,read,OpRead,→ any,#patterns/readwrite@hexcasting:read
Hex Casting,Selection Distillation,NORTH_WEST,deeed,false,hexcasting,index,OpIndex,"list, number → any",#patterns/lists@hexcasting:index
Hex Casting,Selection Exaltation,NORTH_WEST,qaeaqwded,false,hexcasting,slice,OpSlice,"list, num, num → list",#patterns/lists@hexcasting:slice
Hex Casting,Sine Purification,SOUTH_EAST,qqqqqaa,false,hexcasting,sin,OpSin,num → num,#patterns/advanced_math@hexcasting:sin
Hex Casting,Single's Purification,EAST,adeeed,false,hexcasting,singleton,OpSingleton,any → list,#patterns/lists@hexcasting:singleton
Hex Casting,Speaker's Decomposition,SOUTH_WEST,aaqwqaa,false,hexcasting,deconstruct,OpUnCons,"list → list, any",#patterns/lists@hexcasting:deconstruct
Hex Casting,Speaker's Distillation,SOUTH_EAST,ddewedd,false,hexcasting,construct,OpCons,"list, any → list",#patterns/lists@hexcasting:construct
Hex Casting,Stadiometer's Purification,NORTH_EAST,awq,false,hexcasting,get_entity_height,OpEntityHeight,entity → num,#patterns/basics@hexcasting:get_entity_height
Hex Casting,Subtractive Distillation,NORTH_WEST,wddw,false,hexcasting,sub,OpSub,"num/vec, num/vec → num/vec",#patterns/math@hexcasting:sub
Hex Casting,Summon Greater Sentinel,EAST,waeawaeqqqwqwqqwq,true,hexcasting,sentinel/create/great,OpCreateSentinel,vector →,
Hex Casting,Summon Lightning,EAST,waadwawdaaweewq,true,hexcasting,lightning,OpLightning,vector →,#patterns/great_spells/weather_manip@hexcasting:lightning
Hex Casting,Summon Rain,WEST,wwweeewwweewdawdwad,true,hexcasting,summon_rain,OpWeather,,#patterns/great_spells/weather_manip@hexcasting:summon_rain
Hex Casting,Summon Sentinel,EAST,waeawae,false,hexcasting,sentinel/create,OpCreateSentinel,vector →,#patterns/spells/sentinels@hexcasting:sentinel/create
Hex Casting,Surgeon's Exaltation,NORTH_WEST,wqaeaqw,false,hexcasting,modify_in_place,OpModifyInPlace,"list, num, any → list",#patterns/lists@hexcasting:modify_in_place
Hex Casting,Swindler's Gambit,SOUTH_EAST,qaawdde,false,hexcasting,swizzle,OpAlwinfyHasAscendedToABeingOfPureMath,"many, number → many",#patterns/stackmanip@hexcasting:swizzle
Hex Casting,Tangent Purification,SOUTH_WEST,wqqqqqadq,false,hexcasting,tan,OpTan,num → num,#patterns/advanced_math@hexcasting:tan
Hex Casting,Thoth's Gambit,NORTH_EAST,dadad,false,hexcasting,for_each,OpForEach,"list of patterns, list → list",#patterns/meta@hexcasting:for_each
Hex Casting,True Reflection,SOUTH_EAST,aqae,false,hexcasting,const/true,makeConstantOp,→ bool,#patterns/consts@hexcasting:const/true
Hex Casting,Undertaker's Gambit,EAST,ddqaa,false,hexcasting,tuck,OpTwiddling,"any, any → any, any, any",#patterns/stackmanip@hexcasting:tuck
Hex Casting,Unifying Distillation,SOUTH_EAST,waweaqa,false,hexcasting,or_bit,OpOr,"num, num/list, list → num/list",#patterns/sets@hexcasting:or_bit
Hex Casting,Uniqueness Purification,NORTH_EAST,aweaqa,false,hexcasting,to_set,OpToSet,list → list,#patterns/sets@hexcasting:to_set
Hex Casting,Vacant Reflection,NORTH_EAST,qqaeaae,false,hexcasting,empty_list,OpEmptyList,→ list,#patterns/lists@hexcasting:empty_list
Hex Casting,Vector Disintegration,EAST,qeeeee,false,hexcasting,deconstruct_vec,OpDeconstructVec,"vector → num, num, num",#patterns/math@hexcasting:deconstruct_vec
Hex Casting,Vector Exaltation,EAST,eqqqqq,false,hexcasting,construct_vec,OpConstructVec,"num, num, num → vector",#patterns/math@hexcasting:construct_vec
Hex Casting,Vector Reflection +X,NORTH_WEST,qqqqqea,false,hexcasting,const/vec/px,makeConstantOp,→ vector,#patterns/consts@hexcasting:const/vec/x
Hex Casting,Vector Reflection +Y,NORTH_WEST,qqqqqew,false,hexcasting,const/vec/py,makeConstantOp,→ vector,#patterns/consts@hexcasting:const/vec/y
Hex Casting,Vector Reflection +Z,NORTH_WEST,qqqqqed,false,hexcasting,const/vec/pz,makeConstantOp,→ vector,#patterns/consts@hexcasting:const/vec/z
Hex Casting,Vector Reflection -X,SOUTH_WEST,eeeeeqa,false,hexcasting,const/vec/nx,makeConstantOp,→ vector,#patterns/consts@hexcasting:const/vec/x
Hex Casting,Vector Reflection -Y,SOUTH_WEST,eeeeeqw,false,hexcasting,const/vec/ny,makeConstantOp,→ vector,#patterns/consts@hexcasting:const/vec/y
Hex Casting,Vector Reflection -Z,SOUTH_WEST,eeeeeqd,false,hexcasting,const/vec/nz,makeConstantOp,→ vector,#patterns/consts@hexcasting:const/vec/z
Hex Casting,Vector Reflection Zero,NORTH_WEST,qqqqq,false,hexcasting,const/vec/0,makeConstantOp,→ vector,#patterns/consts@hexcasting:const/vec/0
Hex Casting,Wayfind Sentinel,EAST,waeawaedwa,false,hexcasting,sentinel/wayfind,OpGetSentinelWayfind,vector → vector,#patterns/spells/sentinels@hexcasting:sentinel/wayfind
Hex Casting,Waystone Reflection,SOUTH_WEST,eaqwqae,false,hexcasting,circle/impetus_pos,OpImpetusPos,→ vector,#patterns/circle@hexcasting:circle/impetus_pos
Hex Casting,White Sun's Nadir,NORTH_WEST,qqqqqaqwawaw,false,hexcasting,potion/weakness,OpPotionEffect,"entity, number, number →",#patterns/spells/nadirs@hexcasting:potion/weakness
Hex Casting,White Sun's Zenith,NORTH_WEST,qqqqaawawaedd,true,hexcasting,potion/regeneration,OpPotionEffect,"entity, number, number →",#patterns/great_spells/zeniths@hexcasting:potion/regeneration
Hex Casting,Zone Distillation: Animal,SOUTH_EAST,qqqqqwdeddwa,false,hexcasting,zone_entity/animal,OpGetEntitiesBy,"vector, number → list",#patterns/entities@hexcasting:zone_entity/animal
Hex Casting,Zone Distillation: Any,SOUTH_EAST,qqqqqwded,false,hexcasting,zone_entity,OpGetEntitiesBy,"vector, number → list",#patterns/entities@hexcasting:zone_entity
Hex Casting,Zone Distillation: Item,SOUTH_EAST,qqqqqwdeddww,false,hexcasting,zone_entity/item,OpGetEntitiesBy,"vector, number → list",#patterns/entities@hexcasting:zone_entity/item
Hex Casting,Zone Distillation: Living,SOUTH_EAST,qqqqqwdeddwd,false,hexcasting,zone_entity/living,OpGetEntitiesBy,"vector, number → list",#patterns/entities@hexcasting:zone_entity/living
Hex Casting,Zone Distillation: Monster,SOUTH_EAST,qqqqqwdeddwq,false,hexcasting,zone_entity/monster,OpGetEntitiesBy,"vector, number → list",#patterns/entities@hexcasting:zone_entity/monster
Hex Casting,Zone Distillation: Non-Animal,NORTH_EAST,eeeeewaqaawa,false,hexcasting,zone_entity/not_animal,OpGetEntitiesBy,"vector, number → list",#patterns/entities@hexcasting:zone_entity/not_animal
